length,homogeneity,completeness,v_measure,rmse
2,0.04232026918533865,0.20196566027472343,0.06997735095027917,0.0
3,0.0,1.0,0.0,2.0
4,0.6767377623124261,0.9999999999999999,0.8072076355924876,2.0
5,0.7823199555210838,1.0000000000000004,0.8778670216845132,2.0
6,0.4333467379843596,0.9999999999999996,0.6046642120855591,4.0
7,0.45605701634964846,0.9487638900881109,0.6160079579553723,4.0
8,0.3854853527623832,1.0000000000000004,0.5564625450479168,5.0
9,0.44406763878940614,1.0000000000000002,0.6150233228156514,7.0
10,0.5462278034168652,0.8905421160356122,0.6771284076962177,7.0
11,0.39616646947257267,0.9818314800948387,0.5645417849980254,8.0
12,0.30728823971173025,0.9999999999999998,0.4701155114490899,10.0
13,0.43884805131119525,0.8769929093833593,0.5849743864083309,9.0
14,0.42427755616332,0.9906395224379696,0.5941070639055004,11.0
15,0.3277996642294029,0.8985963780140959,0.48036618000157233,11.0
16,0.4691850884648719,0.959801303206693,0.630271165601461,12.0
17,0.28370815654689924,1.0,0.4420134827374748,15.0
18,0.29507319239460494,1.0000000000000002,0.45568573904153065,16.0
19,0.360353169085002,0.9048842558034862,0.5154414544173774,16.0
20,0.2747100778311351,0.9999999999999999,0.43101577779716393,18.0
21,0.356214282197488,0.9394785354435845,0.5165663768241844,18.0
22,0.33278518943324603,0.9919536330634207,0.4983736749948501,19.0
23,0.32076571443187235,0.9933213486294108,0.4849350412312593,20.0
24,0.4070953017867127,0.9688048230341697,0.5732914543588131,20.0
25,0.3826637200517523,0.9443544142164754,0.5446348679939392,21.0
26,0.3705745749280439,0.9355732152568711,0.5308735338575967,22.0
27,0.3084149588338311,0.9407924484542932,0.4645416967084748,24.0
28,0.38450293884517645,0.9526472453266646,0.5478751300292093,24.0
29,0.39180962965484156,0.9436504962067495,0.5537138013818819,25.0
30,0.3153442699495435,0.9933986540629078,0.4787228531847962,27.0
31,0.3599750850037434,0.9460033917119981,0.5215057635585786,27.0
32,0.3622248815046611,0.9478670230059949,0.5241479913102229,28.0
33,0.35591663231396686,0.9451152865896404,0.5171006876370984,29.0
2,1.0,1.0,1.0,0.0
3,0.48340849832826466,0.3420999148890472,0.40065977157087407,1.0
4,0.9002168027803367,0.9547234789542808,0.9266693124587647,1.0
5,0.36003651869807113,0.9999999999999994,0.529451251857156,3.0
6,0.4548944004445251,0.9999999999999991,0.6253297838049794,4.0
7,0.3768150720314697,0.9702999951267692,0.542824694741359,4.0
8,0.44301957172850964,0.999999999999999,0.6140174123873344,5.0
9,0.3421904461028726,0.9999999999999994,0.5098984977824008,7.0
10,0.5200982360790989,0.9817152303876844,0.6799624201770519,7.0
11,0.3727962600037648,0.9882852908695074,0.5413769072345452,8.0
12,0.4407442398785544,0.9137163619538154,0.5946503321973675,8.0
13,0.5140714067634018,0.8949994891914392,0.653045418483918,9.0
14,0.3126742622600889,0.9886768083619112,0.47509668781455683,11.0
15,0.4506572785939496,0.990986605300811,0.619564001425086,11.0
16,0.46782811890548776,0.9259276123178483,0.6215938179254691,12.0
17,0.4105946820784727,0.9899195192024062,0.5804377990575907,14.0
18,0.3721598486312463,0.9514530848248848,0.5350395528450723,15.0
19,0.28048228785129825,1.0000000000000007,0.43808850854463444,17.0
20,0.40498904354339516,0.9938644498141438,0.5754772960189263,16.0
21,0.26435363483824015,0.9999999999999999,0.4181640761796223,19.0
22,0.4208441172145756,0.9652610248727933,0.5861379653818817,18.0
23,0.3668226915454168,0.9481300171914688,0.5289857232588412,19.0
24,0.31768475069012203,0.9942548124044819,0.48151546166672804,21.0
25,0.3986350559025061,0.9347552039564421,0.5589154266414886,21.0
26,0.30063630624528964,0.9905207095670991,0.4612707575249481,23.0
27,0.3424617922552198,0.9365143808934693,0.5015267681867586,23.0
28,0.35958546477032083,0.953861729163543,0.5222818470236351,24.0
29,0.35647559199985734,0.9440511392820743,0.5175305984245289,25.0
30,0.38697431049511344,0.9389480719874937,0.5480694610008106,26.0
31,0.36169873913070216,0.9431792771628054,0.5228791520191559,27.0
32,0.3568285073832528,0.9449897034338101,0.5180435525743523,28.0
2,0.0,1.0,0.0,1.0
3,0.4523015062821467,0.9999999999999998,0.6228754901453301,1.0
4,0.4898042928889303,0.8501643058177909,0.6215281866342182,2.0
5,0.0,1.0,0.0,4.0
6,0.0,1.0,0.0,5.0
7,0.13765912691569204,0.9628661601685553,0.24088008971904976,4.0
8,0.5955961920426772,1.0000000000000002,0.7465500294033629,5.0
9,0.7272908283017661,0.9520144296421964,0.8246164416080345,5.0
10,0.3537841332195262,0.9999999999999997,0.5226595947437618,8.0
11,0.6823717485884975,0.9395094360144578,0.7905569196494772,7.0
12,0.3111053418626886,1.0000000000000002,0.4745695588741954,10.0
13,0.4232827339930923,0.9898000354543132,0.5929805021646399,10.0
14,0.29806571255966985,0.9864090757055954,0.45779757876383437,11.0
15,0.5323934046071359,0.9568502165820941,0.6841335255791399,11.0
16,0.30718549686244045,0.9812670074007839,0.46789616571159065,13.0
17,0.2977089403095891,0.9742208309326085,0.4560538761840911,14.0
18,0.4567755616581669,0.9457338838312195,0.6160216993268498,14.0
19,0.41324514603904133,0.962604728892281,0.5782487450366905,15.0
20,0.34178198333341653,0.9900185948507494,0.5081399188854537,17.0
21,0.42742192919315025,0.9338435984768072,0.5864325869014504,17.0
22,0.32581637511113537,0.9872340590579212,0.48993856464022273,19.0
23,0.43076608767047303,0.9670872363769187,0.5960401968983858,19.0
24,0.3056091573484642,0.9508360500373374,0.4625497432284393,21.0
25,0.3924546911282249,0.9473410417021916,0.5549927153878811,21.0
26,0.3171090667011541,0.9909332044072652,0.48046444759999046,23.0
27,0.3277882470420366,0.9927046694785512,0.49284160387049736,24.0
28,0.3996402834241017,0.9400984442756838,0.5608574283165458,24.0
29,0.3612959405544734,0.9439564787376533,0.5225773019642722,25.0
30,0.3464652330973061,0.9574718038827683,0.5088139723136197,26.0
31,0.35716597161283486,0.9524025406913172,0.5195081824532173,27.0
32,0.3035561471295997,0.9933028572279345,0.465005351020884,29.0
2,1.0,0.89508278891735,0.9446371358041891,1.0
3,0.24458766816027172,0.3314549726530814,0.28147152004884896,1.0
4,0.5142746475876991,0.9999999999999999,0.6792356306129267,2.0
5,0.8961024055628526,1.0000000000000002,0.9452046502697699,2.0
6,0.4305368827843515,0.9999999999999991,0.6019234987445665,4.0
7,0.6384073016581652,0.9673961607537678,0.7692009477842959,4.0
8,0.4262670565237215,0.9999999999999997,0.5977380667582317,5.0
9,0.3619111742263642,0.9999999999999999,0.5314754457932227,7.0
10,0.5283841411511772,0.9480973539679506,0.678585688693159,7.0
11,0.30507247987102093,1.0,0.4675180644391045,9.0
12,0.4650720764741758,0.9216696845719138,0.6182013783212407,9.0
13,0.4382484700536491,0.9859187014095412,0.6067789949772474,10.0
14,0.25677767927098055,0.8314117835196362,0.392372827693512,11.0
15,0.4717686403759417,0.9640698330048125,0.6335223951385699,12.0
16,0.5542177431350662,0.9878887151574467,0.7100747827609545,12.0
17,0.42990659590629754,0.9908050170106233,0.5996341667051986,14.0
18,0.488343043259165,0.9414378297668268,0.6430980068360144,14.0
19,0.3308604151342616,0.9873564529907015,0.4956349350720454,16.0
20,0.4619572825671081,0.9663162567448813,0.6250859093578366,16.0
21,0.4087101876400235,0.9687674854129897,0.574884295387717,17.0
22,0.2519232604944744,0.9999999999999989,0.4024579915464974,20.0
23,0.33642995399416403,0.9923085339912483,0.502495137240816,20.0
24,0.39765354953761606,0.976349663594229,0.5651353732035957,20.0
25,0.4557959067609695,0.9437812075987292,0.6147165552906707,21.0
26,0.40345105530395836,0.9782376175101167,0.5712878840045248,22.0
27,0.35173754893251874,0.9461639905559359,0.5128299686854884,23.0
28,0.3895731086936464,0.9554853578571999,0.5534798827387916,24.0
29,0.3443353166631931,0.9342954260883785,0.5032116007265762,25.0
30,0.3081755608912359,0.9932407382235567,0.47039909029919197,27.0
31,0.3594825742018075,0.9434777989046255,0.5206049774850448,27.0
32,0.35607749569875263,0.9449971855171052,0.5172527543873923,28.0
2,1.0,1.0,1.0,0.0
3,0.0,1.0,0.0,2.0
4,0.0,1.0,0.0,3.0
5,0.0,1.0,0.0,4.0
6,0.0,1.0,0.0,5.0
7,0.32997079317952827,0.9645385917126559,0.49172229707117643,4.0
8,0.38528503904970096,0.953567814555271,0.5488211967106363,5.0
9,0.5403803630558947,0.9852100641126189,0.6979437765870193,6.0
10,0.3319811288541731,1.000000000000001,0.4984772256342062,8.0
11,0.3106285506573653,0.9860513201531926,0.4724307045215434,8.0
12,0.31776625183615065,0.9999999999999998,0.48228014853678514,10.0
13,0.5265363616822462,0.9730479050181277,0.6833161897305322,9.0
14,0.4496744736145762,0.9257501987382647,0.6053202937011553,11.0
15,0.4247400926898471,0.9271472411765336,0.5825879054997928,11.0
16,0.37405806862486957,0.9536088059739162,0.5373412186608415,13.0
17,0.26840793090422693,1.0000000000000007,0.42322020284575707,15.0
18,0.3396003444662403,0.9910690053485102,0.5058617689706667,15.0
19,0.36554731829474024,0.9940669899688835,0.5345317715176504,16.0
20,0.3466729998377545,0.8902921267892967,0.49902820327292213,16.0
21,0.33903478814994376,0.8889443365875688,0.49086022516299865,17.0
22,0.25011026226006644,0.9999999999999994,0.40014112324443063,20.0
23,0.33599018704532846,0.9894725180943189,0.5016407555513921,20.0
24,0.25398651711669334,1.0,0.40508651991041766,22.0
25,0.4372224136488593,0.9483405000194256,0.5985086902791144,21.0
26,0.24044166829994007,1.0,0.3876710601466204,24.0
27,0.41147579976330473,0.9634241301528413,0.5766611894293779,23.0
28,0.34117272849131897,0.9908105397294529,0.5075702425436551,25.0
29,0.3590716023555818,0.9418598363358184,0.5199276619337556,25.0
30,0.381783919824485,0.9525135519534821,0.545087381550937,26.0
31,0.3163969572294532,0.9929667886076367,0.4798844806024543,28.0
32,0.3697052035166384,0.9432983616629544,0.5312130477388508,28.0
2,0.0,1.0,0.0,1.0
3,0.0,1.0,0.0,2.0
4,0.4515715042168386,0.9999999999999998,0.6221829278199745,2.0
5,0.0,1.0,0.0,4.0
6,0.5036690541168319,0.9999999999999996,0.6699200901127249,3.0
7,0.6398940496440786,0.9572924656976263,0.7670560033972812,4.0
8,0.7132269913138868,0.9891038067037593,0.8288113367553864,4.0
9,0.3467966893455306,0.9999999999999996,0.5149948646132398,7.0
10,0.36423177779561633,0.9808983916146674,0.531211585524549,7.0
11,0.34488395289778684,0.9999999999999997,0.5128828433928061,9.0
12,0.27547740880258215,0.9999999999999996,0.4319596833333179,10.0
13,0.3476348515013332,0.907910663913514,0.5027637547998667,9.0
14,0.38983237155125816,0.952513247062484,0.5532412709326309,10.0
15,0.3543809973856264,0.8939038287177732,0.5075484757380114,12.0
16,0.46292186275894304,0.89941885907811,0.611243056852208,12.0
17,0.2916852608848845,1.0,0.45163519274821173,15.0
18,0.37702553354561413,0.9928035086602267,0.5465094709275886,15.0
19,0.3328733751370178,0.9901979888284069,0.49825059414378264,16.0
20,0.37240286003942763,0.9185795639272271,0.5299555600907319,16.0
21,0.41555332594561334,0.91908973097263,0.5723339923260568,17.0
22,0.41361606448159477,0.9406684243574452,0.5745846974860712,18.0
23,0.41954255329418644,0.9337696620378887,0.5789589479230356,19.0
24,0.41453565880573395,0.9559005246894001,0.5782901218271492,20.0
25,0.3580058003124912,0.9496592182937648,0.5199856287839794,21.0
26,0.404253637774416,0.9558290035944684,0.5681968728083483,22.0
27,0.40852972394130377,0.9340280820058793,0.5684347188701964,23.0
28,0.3887905156398603,0.9500766861249909,0.5517810940607689,24.0
29,0.3448495024447966,0.9478013587691189,0.5057031821896477,25.0
30,0.3577551825428304,0.9545077311499951,0.5204446213223444,26.0
31,0.3608133875130752,0.9450087840054373,0.5222331616411521,27.0
32,0.3573856495253848,0.9466298551143046,0.5188771520375828,28.0
2,0.0,1.0,0.0,1.0
3,0.7829137172473563,1.0,0.8782407243532773,1.0
4,0.0,1.0,0.0,3.0
5,0.6842178210969577,0.8644705944185745,0.7638543435718451,2.0
6,0.6393393460290261,0.8791396597265182,0.7403047035715403,3.0
7,0.5203545754773663,0.9324320267505003,0.6679511921395803,4.0
8,0.22653999490479343,0.9688962902855517,0.3672195053534165,5.0
9,0.290378665747993,1.0,0.45006736930150554,7.0
10,0.4965651260066877,0.9420157900142947,0.6503244749868696,7.0
11,0.3689175919229121,0.9706060895593996,0.5346283402316936,8.0
12,0.42031540360091485,0.8427715303659223,0.5608954481329688,8.0
13,0.3443457425361249,1.0000000000000002,0.5122874743315843,11.0
14,0.2859432957858576,0.81147645541483,0.4228760268986794,10.0
15,0.4580040678050068,0.9258349238521714,0.6128403142224522,11.0
16,0.42823614149029443,0.990473807158325,0.5979470036545667,12.0
17,0.4250029499255035,0.9342009447246711,0.584221629873074,13.0
18,0.4713614021186704,0.9290135234730621,0.6254055382010393,14.0
19,0.35683146353356404,0.9908477073447768,0.524702978558731,16.0
20,0.3548966423772256,0.9214900727453028,0.5124367543575684,16.0
21,0.45529599318943886,0.9643764351556183,0.6185606173453815,17.0
22,0.4250067942236841,0.9888696866910844,0.5945021946664545,18.0
23,0.3265002061855309,0.9913654610365439,0.491220062081034,20.0
24,0.43338780521657166,0.9632829857849841,0.5978146055627724,20.0
25,0.41569283764648535,0.9812328983607627,0.5839844988145517,21.0
26,0.3967092117488332,0.9368031737299749,0.5573828224786737,22.0
27,0.3637077528751538,0.955002156076274,0.5267901390892212,23.0
28,0.3054995672154761,0.9923761600126613,0.46717953196690537,25.0
29,0.37638290284655634,0.940721987825822,0.5376514430353578,25.0
30,0.376981934476336,0.9409520402697035,0.5382999864749393,26.0
31,0.3758427907582469,0.9412886005107342,0.5371924727783389,27.0
32,0.35607749569875274,0.9449971855171054,0.5172527543873924,28.0
2,0.22363808964164436,0.4301569161309817,0.2942802258209039,0.0
3,0.8017251145326413,0.6865337438642761,0.739671517927986,0.0
4,0.7211229511613645,1.0,0.8379679681509927,2.0
5,0.29156520983804396,0.9999999999999994,0.4514912721667453,3.0
6,0.49528001985585074,0.9999999999999996,0.6624578851840702,4.0
7,0.6004237814553826,0.9725022238603606,0.7424550942010704,4.0
8,0.45031246184991924,0.9200071703421732,0.6046628597645115,4.0
9,0.33327802253414396,1.0000000000000002,0.49993777276953355,6.0
10,0.3542125837626696,0.9999999999999996,0.5231270009003941,8.0
11,0.44988557431745446,0.9775246375378344,0.6161847930127524,8.0
12,0.5029487898729719,0.9899769476872838,0.6670227397313684,9.0
13,0.37139503515650046,0.9695328921765608,0.5370604866011719,10.0
14,0.36353879829764657,0.9086936141530189,0.51931609551371,11.0
15,0.3967900973982815,0.9928300365968263,0.5669824684946326,12.0
16,0.4508785221779334,0.9882512507111955,0.6192370859879166,13.0
17,0.30589312803974555,1.0,0.4684811053396331,15.0
18,0.446221668883978,0.9135015188471401,0.5995693475643311,14.0
19,0.38820440136778867,0.9074424682124358,0.5437795875078986,16.0
20,0.33850077766498365,0.9847596675025989,0.5038190546389751,17.0
21,0.44569640608545885,0.9514231373274084,0.607028761386479,17.0
22,0.26707665331475905,1.0000000000000007,0.4215635299033698,20.0
23,0.4545683341826858,0.9442700185706336,0.6137024317576756,19.0
24,0.3478923966231728,0.9594516849375551,0.5106321294063433,20.0
25,0.42245267527091834,0.9439080194155599,0.5836767254246505,21.0
26,0.3584600606106804,0.9407611800452765,0.519119144710019,22.0
27,0.39571304551680603,0.9419588564250769,0.5573046832880093,23.0
28,0.32152398131841575,0.9928281714792121,0.4857420681049844,25.0
29,0.29512940937737114,0.9916013388377394,0.4548748335655197,26.0
30,0.37607017027243694,0.9411530364061516,0.5374025918449312,26.0
31,0.30477538351881145,0.9936591995964628,0.46647381020522455,28.0
32,0.3721291149155815,0.942363586310104,0.5335608588397078,28.0
2,1.0,1.0,1.0,0.0
3,0.0,1.0,0.0,2.0
4,0.3973991632265791,0.9999999999999983,0.5687697168917558,2.0
5,0.7566801979181564,1.0,0.8614888456247176,3.0
6,0.5632998194820097,0.9408570728529461,0.7046932696943904,3.0
7,0.183233797574835,0.999999999999999,0.30971697723711467,5.0
8,0.3817839216771416,1.0000000000000004,0.5525956926952096,6.0
9,0.4937154381953644,1.0000000000000004,0.6610568861654773,7.0
10,0.5319897552066198,0.9900177785101745,0.692085031082153,7.0
11,0.44855502826498644,0.9345434063142436,0.6061667536507199,8.0
12,0.2538433885895153,1.0000000000000007,0.40490445760546073,10.0
13,0.5475765570191065,0.9802553941684196,0.7026491013241911,9.0
14,0.4044704626363442,0.9876695185811201,0.5739123256311655,11.0
15,0.4758665930903204,0.930061047477264,0.6295985216569826,11.0
16,0.4974426153764658,0.9240852345601526,0.6467398805178145,12.0
17,0.30607715757801945,1.0000000000000002,0.46869690018253873,15.0
18,0.2661137900478802,0.9999999999999997,0.4203631492518799,16.0
19,0.27643267671102423,0.9999999999999999,0.4331331871310385,17.0
20,0.43163832765671495,0.9870117438886341,0.600616187254052,16.0
21,0.3770936991295422,0.9885607856773863,0.5459361026272974,18.0
22,0.49168442810014634,0.9557919727392643,0.6493342885956369,18.0
23,0.25363462221900135,0.9999999999999997,0.4046388281300882,21.0
24,0.29313257685804905,0.9914003949282172,0.45247846314022183,21.0
25,0.33158066142866083,0.9400263594075461,0.490237246107308,22.0
26,0.4011749738037407,0.9403169342511748,0.5624061080061116,22.0
27,0.34703568479923297,0.9945267533128047,0.5145288256173488,24.0
28,0.3581717390797818,0.9480052684246029,0.5199122227655589,24.0
29,0.3655753039117264,0.959571103143315,0.5294441365707256,25.0
30,0.36718349245940873,0.9428670235612462,0.5285371860127072,26.0
31,0.3561639966704221,0.9448675911517925,0.5173245918683462,27.0
32,0.3593080779034456,0.9434618851634985,0.5204195462646516,28.0
2,0.17350704532165598,0.02449178794879378,0.04292447275015296,0.0
3,0.8821479627303338,1.0000000000000002,0.9373842866749413,1.0
4,0.5279842069470622,0.833334110828662,0.646413471239713,2.0
5,0.4870219104241647,1.0,0.6550299050876048,3.0
6,0.39879946984443193,1.0,0.5702024892657195,4.0
7,0.4998917991337805,0.9724255189732298,0.6603298571915555,4.0
8,0.8861923950389228,0.9908130676071554,0.9355870538392881,4.0
9,0.3494280665474637,1.0000000000000007,0.517890616343088,7.0
10,0.45121088591032327,0.9427608691134893,0.6103193488981664,7.0
11,0.46217254713308065,0.9083128057555423,0.6126256543272234,8.0
12,0.5745431924305595,0.9280553382588019,0.7097143593649196,8.0
13,0.4577773446704998,0.9653650081098122,0.6210513364133491,10.0
14,0.3100882264694176,1.0000000000000002,0.47338525788462416,12.0
15,0.4458985866272797,0.9886162888941971,0.6145946806921476,12.0
16,0.42252054671383715,0.9875174244265725,0.5918229304430653,12.0
17,0.49547846020749703,0.9326435813359891,0.6471503025096198,13.0
18,0.4101153689225845,0.98265038516245,0.5787046731308602,15.0
19,0.39067085691132336,0.9353967719386601,0.5511517670667805,16.0
20,0.45019366240287084,0.931017308224091,0.6069139337339756,16.0
21,0.37610016502566157,0.9244617824240566,0.5346769211745636,17.0
22,0.4386992737368514,0.9711849227695324,0.6043873976868778,18.0
23,0.43627314385553173,0.9314543781519317,0.5942243953940485,19.0
24,0.4300810919379782,0.941053210396118,0.5903567456666027,20.0
25,0.24213424959471513,0.9999999999999994,0.38986808337942364,23.0
26,0.4093493306111221,0.9363239770685469,0.5696532599120144,22.0
27,0.30497842955006615,0.9913610551859036,0.46645765447663246,24.0
28,0.36899889249304363,0.9439824019822048,0.5305916578249062,24.0
29,0.3858678238492972,0.9609557200898757,0.5506317352339979,25.0
30,0.3619141588241528,0.9426130225692291,0.5230170808636635,26.0
31,0.36089523247555666,0.9539826992958023,0.5236802591647497,27.0
32,0.33939296713865874,0.9394377768533302,0.4986407716991737,28.0
